DATE,Median_Wages
1/1/79,339
4/1/79,334
7/1/79,325
10/1/79,328
1/1/80,324
4/1/80,314
7/1/80,315
10/1/80,317
1/1/81,317
4/1/81,311
7/1/81,304
10/1/81,314
1/1/82,315
4/1/82,314
7/1/82,306
10/1/82,315
1/1/83,318
4/1/83,314
7/1/83,310
10/1/83,314
1/1/84,316
4/1/84,312
7/1/84,308
10/1/84,318
1/1/85,317
4/1/85,323
7/1/85,315
10/1/85,322
1/1/86,324
4/1/86,328
7/1/86,322
10/1/86,333
1/1/87,331
4/1/87,328
7/1/87,324
10/1/87,330
1/1/88,332
4/1/88,325
7/1/88,320
10/1/88,326
1/1/89,326
4/1/89,322
7/1/89,317
10/1/89,324
1/1/90,323
4/1/90,318
7/1/90,309
10/1/90,313
1/1/91,320
4/1/91,311
7/1/91,308
10/1/91,314
1/1/92,319
4/1/92,312
7/1/92,310
10/1/92,314
1/1/93,319
4/1/93,316
7/1/93,315
10/1/93,320
1/1/94,320
4/1/94,315
7/1/94,310
10/1/94,316
1/1/95,317
4/1/95,312
7/1/95,313
10/1/95,315
1/1/96,315
4/1/96,311
7/1/96,310
10/1/96,315
1/1/97,316
4/1/97,311
7/1/97,310
10/1/97,316
1/1/98,322
4/1/98,316
7/1/98,318
10/1/98,330
1/1/99,327
4/1/99,327
7/1/99,327
10/1/99,337
1/1/00,337
4/1/00,332
7/1/00,331
10/1/00,336
1/1/01,335
4/1/01,333
7/1/01,335
10/1/01,342
1/1/02,344
4/1/02,337
7/1/02,334
10/1/02,338
1/1/03,339
4/1/03,335
7/1/03,335
10/1/03,338
1/1/04,340
4/1/04,338
7/1/04,333
10/1/04,339
1/1/05,340
4/1/05,331
7/1/05,329
10/1/05,333
1/1/06,336
4/1/06,326
7/1/06,332
10/1/06,338
1/1/07,340
4/1/07,332
7/1/07,334
10/1/07,334
1/1/08,339
4/1/08,332
7/1/08,329
10/1/08,342
1/1/09,348
4/1/09,342
7/1/09,342
10/1/09,346
1/1/10,347
4/1/10,340
7/1/10,339
10/1/10,344
1/1/11,341
4/1/11,334
7/1/11,332
10/1/11,338
1/1/12,337
4/1/12,335
7/1/12,329
10/1/12,336
1/1/13,334
4/1/13,333
7/1/13,330
10/1/13,337
1/1/14,339
4/1/14,328
7/1/14,332
10/1/14,338
1/1/15,344
4/1/15,337
7/1/15,337
10/1/15,348
1/1/16,350
4/1/16,343
7/1/16,343
10/1/16,351
1/1/17,355